,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
2300,2021-02-10, Manager,"Current Employee, more than 3 years","London, England, England",5,3.0,4.0,5.0,5.0,5.0,5.0,v,v,v,Great place to work,Great place to build a career,The work life balance can be a struggle,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2304,2021-02-10, Technology Architecture Analyst,"Current Employee, less than 1 year","London, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great Inclusive and Diverse company to work for,"- Salary
- Inclusive work environment
- 3 days charity leave
- Good promotion chances","- Long hours
- Always changing, you are expected to find info yourself.",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2308,2021-02-11, Business and Technology Delivery Consultant,"Current Employee, more than 1 year","London, England, England",3,2.0,3.0,5.0,4.0,4.0,4.0,x,o,r,It's ok - a bit too company focussed,"Good pay, lots of opportunity, large office",Don't really get the chance to after the opportunities you want.,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2312,2021-02-11, Corporate Finance Analyst,"Current Employee, more than 3 years","London, England, England",4,5.0,5.0,5.0,4.0,4.0,5.0,v,v,v,Great career development platform,"Excellent team culture and work benefits .
Huge range of training resources available.
Operates across multiple different industries.",Can feel quite large and bureaucratic,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2316,2021-02-11, Manager,"Former Employee, more than 1 year","London, England, England",4,4.0,3.0,5.0,4.0,4.0,3.0,v,v,v,Great short term experience - needs a better culture though to keep people long term,"Great training 
Good exposure to global experience","Highly political 
Highly focused on sales - not always doing best for the client",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2320,2021-02-12, Anonymous Employee,"Current Employee, more than 3 years","London, England, England",4,3.0,4.0,4.0,4.0,4.0,4.0,v,v,v,Professional development,The formal development process and training,Internal bureaucracy and admin could be improved,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2324,2021-02-12, Associate Technical Delivery Manager,"Current Employee, more than 10 years","London, England, England",4,3.0,5.0,5.0,5.0,4.0,4.0,v,r,v,Lots of opportunities to learn,"There's a broad range of industry and technologies that the company is involved in. Plus, it stays on top and ahead of most consulting companies to keep up with the latest trends",other companies have more competitive salary,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2328,2021-02-12, Business and Systems Integration Analyst,"Current Employee, more than 5 years","London, England, England",4,4.0,5.0,5.0,4.0,4.0,4.0,v,v,v,Great company but not without glitches,"Good opportunity 
Great management
Global reach","Lower salary
Process oriented problems
Non equal global policies",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2332,2021-02-12, Manager/In,"Former Employee, more than 3 years","Newcastle upon Tyne, England, England",1,1.0,1.0,1.0,1.0,2.0,2.0,o,o,o,Toxic culture,Good range of clients to work for,Lot of internal competition with consultants trying to outrun each other. Toxic and chauvinistic behavior was displayed and promoted by the senior staff,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2336,2021-02-12, Senior Analyst,"Former Employee, more than 3 years","London, England, England",3,2.0,2.0,4.0,5.0,2.0,3.0,o,o,o,Good start to working life,Great experience and training. Lots of exposure,Lots of polictics and hoops to jump through,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2340,2021-02-12, Software Engineer,"Current Employee, more than 1 year","Newcastle upon Tyne, England, England",1,2.0,1.0,1.0,1.0,1.0,1.0,x,r,x,The worst place for graduates,Access to upskilling material e.g. aws certification,"Software engineering is just a title.They get you to do whatever needs doing even though it's nowhere close to what you want to do.You usually end up more lost than you were coming in.Pay is extremely low,not worth the stress",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2344,2021-02-12, Technology Architecture Analyst,"Former Employee, more than 1 year","London, England, England",3,1.0,3.0,5.0,5.0,3.0,4.0,v,r,v,Mixed experience,"Lots of opportunities to try out different industries and projects, this is especially nice to have early on in your career","No enough help is provided in obtaining projects. Projects are determined by business demand and not based on your experience or skills

Really bad work life balance, I averaged 60 hours per week. Some weeks I even spent 80 hours working. Overtime was never paid",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2348,2021-02-13, Associate Manager,"Former Employee, more than 5 years","London, England, England",4,4.0,4.0,4.0,4.0,4.0,4.0,v,r,v,Accelerated Career Laddering but slow salary increase,Excellent client and potential of breadth of experience.,Starting as graduate and getting promoted really quickly meant I get rather small salary hikes.,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2352,2021-02-14, Management Consultant,"Former Employee, more than 3 years","London, England, England",4,1.0,2.0,5.0,4.0,3.0,3.0,x,v,v,Good employer  - bad working life balance,"Exposure to many industries, various projects and c-suite","Working hours
Leadership’s lack of understanding of personal time - calls during weekends?! And 16 hour workdays in several cases",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2356,2021-02-14, Manager,"Current Employee, more than 3 years","Manchester, England, England",5,3.0,5.0,5.0,5.0,4.0,5.0,v,v,v,Great company,"great experiences, training. great opportunity to learn and grow",Promotions and pay rises are not easy and you may think at moving away,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2360,2021-02-15, Analyst,"Current Employee, more than 1 year","London, England, England",5,3.0,5.0,5.0,4.0,3.0,5.0,v,v,v,Good experience,"Generally all employees are very welcoming and approachable. Good benefits, although gym subsidy isn't great.","Too much side of desk activity, some pressure to be present",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2364,2021-02-15, Consultant,Current Employee,"London, England, England",4,4.0,4.0,4.0,4.0,4.0,3.0,v,v,v,Solid start to your career,"Good experience with industry-leading global clients. 
Really strong training and access to resources.",Very mixed experience from person to person. Career progression can be quite political and not always based on individual performance but based on the performance of the particular part of the company you are in (which at Accenture is very big).,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2368,2021-02-15, Consultant,"Current Employee, more than 5 years","London, England, England",3,3.0,3.0,3.0,3.0,2.0,2.0,x,r,r,Not bad,"Good for new youngsters, can try deferent directions or completely change your career. 
Good support 
Not bad life work balance","To be promoted it is not enough to do you job, you must be VISIBLE (what means to just meat right people, talk right things and make right friendship). That visability often is more important that good work and client satisfaction.",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2372,2021-02-16, Analyst,"Former Employee, more than 1 year","London, England, England",4,4.0,4.0,4.0,5.0,4.0,4.0,v,r,v,A good career start,They lay out clear direction and goals,A bit rigid structure and systems,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2376,2021-02-16, Senior Manager,"Former Employee, more than 5 years","London, England, England",1,2.0,1.0,1.0,2.0,2.0,1.0,x,o,r,Cowboys,You will work with some great people,All work and no play,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2380,2021-02-16, Sourcing Manager,"Former Employee, more than 8 years","London, England, England",4,3.0,4.0,5.0,2.0,4.0,3.0,x,r,r,Procurement Operations,"Great people in the main, high ethical standards, recognises individual contributions",Certain Procurement categories more in demand than others. Technology Procurement is a conflict of interest minefield. Would sell their grandmothers to make the numbers - resulting in some deals where colleterial damage is the norm. Some areas have very low chance of ever seeing a promotion - could take many years. The ops are really only there for general management or sales people,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2384,2021-02-18, Manager,"Former Employee, more than 5 years","London, England, England",3,1.0,2.0,4.0,4.0,4.0,1.0,x,x,r,Politics...,Sometimes you get involved interesting projects,"Impersonal relations, lack of team bonding",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2388,2021-02-18, Senior Manager,Current Employee,"London, England, England",5,3.0,3.0,3.0,4.0,5.0,4.0,v,v,v,Great Company,Good salary and benefits . Great client base. Excellent talent and opportunities.,Long hours . Stressful environment.,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2392,2021-02-19, Cloud DevOps Engineer,Current Employee,"London, England, England",4,4.0,4.0,5.0,4.0,3.0,4.0,v,v,v,Overall career development,Opportunities for learning new technologies.,Not all projects can help you grow your career.,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2396,2021-02-19, Devops Engineer,"Current Employee, more than 3 years","London, England, England",4,4.0,4.0,5.0,5.0,4.0,4.0,v,v,v,Overall Career Development,You will have different changes to use different technologies.,You have to drive your career by yourself.,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2400,2021-02-19, Practitioner,"Former Employee, more than 1 year","London, England, England",4,4.0,4.0,4.0,4.0,4.0,4.0,o,o,o,Good place to work,Good work place and grow,Hire n fire is common here,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2404,2021-02-19, Senior Analyst,"Current Employee, less than 1 year","Manchester, England, England",5,1.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Hectic company to work,"Decent Benefits, new clients after few months.","working with new client every now and then is very hectic, and not good for mental health.",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2408,2021-02-22, Anonymous Employee,"Current Employee, more than 1 year","London, England, England",5,3.0,5.0,3.0,5.0,5.0,3.0,v,o,v,Fab place to work,"Working with great people, important and big clients, great pay and amazing perks",can be long hours of working,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2412,2021-02-22, Senior Manager,"Current Employee, more than 10 years","London, England, England",5,3.0,5.0,5.0,5.0,3.0,4.0,v,v,v,Great place to work,"Inclusion and Diversity, career options, training and development, great people","Client workload vs internal workload, hours, poor laptops",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2416,2021-02-23, Data Lead,Current Employee,"London, England, England",2,1.0,1.0,4.0,3.0,1.0,2.0,x,r,r,You're just a number,You get to work at different clients,You're only a number for them. Long hours and little rewards,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2420,2021-02-23, Senior Consultant,"Current Employee, more than 8 years","London, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,People are nice and professional,High Performance Delivered. People are friendly.,Have not experience anything bad so far. This is a great company.,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2424,2021-02-23, Senior Manager,"Current Employee, more than 10 years","London, England, England",3,2.0,3.0,2.0,2.0,4.0,3.0,x,x,r,Hard to progress,Competitive £ at Senior Manager,Limited opportunities for progression - Managing director slots limited,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2428,2021-02-23, Team Lead,"Former Employee, more than 5 years","Glasgow, Scotland, Scotland",3,2.0,3.0,4.0,4.0,4.0,3.0,v,r,r,Good,Opportunities to work on latest technologies,Difficult to maintain Worklife balance,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2432,2021-02-24, Alliances,"Former Employee, more than 8 years","London, England, England",4,4.0,4.0,4.0,3.0,5.0,4.0,v,v,v,"Hard work, competitive culture but its fantastic",You get to work with driven and talented people,Promotion laddering can be unfair and limited,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2436,2021-02-25, Consultant,Current Employee,"London, England, England",4,3.0,5.0,5.0,4.0,4.0,3.0,o,o,o,Good,"If you're proactive, you'll be great","If you're not, you'll be stuck at level for ages",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2440,2021-02-26, Consultant,"Current Employee, more than 3 years","London, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Big Amman,All of the daily benefits,None of the things were bad,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2444,2021-02-27, Consultant,"Former Employee, more than 3 years","London, England, England",3,3.0,1.0,4.0,4.0,3.0,1.0,x,r,x,Vulture Culture,"Good range of projects and clients
Training opportunities is plentiful
Nice office 
Bench time","Minimal choice of which project and client you get to work on - it will not necessary be your skill set.
Culture is bad you can hardly trust anyone there, everyone is trying to reach to the top and there will be little support for you there. 
Location you will be sent to where ever needed",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2448,2021-02-27, Senior Manager,"Former Employee, more than 5 years","London, England, England",2,3.0,1.0,1.0,2.0,4.0,2.0,x,x,v,Huge capability - but zero people focus,The compensation is ok - but the culture is woeful,More MDs sat in offices than I've seen,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2452,2021-03-01, Associate Director,"Current Employee, more than 5 years","London, England, England",3,1.0,2.0,4.0,1.0,3.0,3.0,x,v,v,accenture interactive,talented people and breadth of experience they bring,"promotions are limited, long working hours",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2456,2021-03-01, Consultant,"Former Employee, more than 3 years","London, England, England",4,4.0,3.0,3.0,3.0,3.0,3.0,o,v,o,Massive organization with a lot of concealed bias,"Felxible, good brand image, reputed business",Concealed bias towards young work force,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2460,2021-03-01, Consulting Manager,"Former Employee, more than 5 years","London, England, England",5,4.0,5.0,5.0,5.0,5.0,4.0,v,v,v,"Great company, lots of opportunity to learn and grow","Great company to join as a grad, lots of opportunities to shape your career the way you want to with smart co-workers supporting you along the way.",Complex hierarchies and org structures that can be tricky to navigate,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2464,2021-03-01, Data Architecture Associate Manager,"Current Employee, more than 3 years","London, England, England",5,4.0,5.0,5.0,5.0,5.0,5.0,v,r,v,Great place to work if you love consulting,"Generous holiday pay
Discretionary sick leave
Career progression 
Interesting projects
Training and certification budgets
Great community
Mental health awareness and support","Some projects are terrible to work for with inconsistent support for company policies
Possible to be on out of town project indefinitely",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2468,2021-03-02, AI/ML Engineer,"Current Employee, more than 1 year","London, England, England",5,5.0,5.0,5.0,5.0,5.0,4.0,v,v,v,Great place to work,Work environment is healthy. Projects are great so you will be having more opportunities to build and upgrade your skills.,I did not find yet,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2472,2021-03-03, Delivery Lead,"Current Employee, more than 3 years","Newcastle, England, England",4,4.0,4.0,5.0,5.0,5.0,4.0,v,r,v,Quick Review,Loads of new tech and lots of roles and opportunities.,Performance Achievement process is poor and still favourites biased.,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2476,2021-03-03, Management Consulting Manager,"Former Employee, more than 5 years","London, England, England",4,2.0,4.0,4.0,4.0,5.0,5.0,v,v,v,"Great people, hard work","Great people to work with, leaders are very understanding and accommodating, they have great wellbeing programmes, they accommodate lifestyle requests when it's for good reason (mental or physical health in this example), very well compensated","Hours can be long, expected to do what it takes to complete the work, high pressure environment, internal structure changes often (although this is usually to reflect the market), didn't feel like a diverse company at times and occasionally didn't feel inclusive, travel can be extensive and for prolonged periods - all dependent on project",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2480,2021-03-03, Marketing ,"Former Employee, more than 10 years","London, England, England",5,3.0,4.0,4.0,5.0,4.0,4.0,v,v,v,Great work but long hours,Working with interesting people--great projects,Long working hours regular and expected,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2484,2021-03-04, Senior Consultant,"Current Employee, more than 1 year","Manchester, England, England",3,3.0,3.0,3.0,3.0,3.0,3.0,v,r,v,Good place to work,It you get on the right project it can be very interesting work,None during my time there,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2488,2021-03-05, Project Manager,"Former Employee, more than 8 years","Manchester, England, England",4,3.0,4.0,4.0,4.0,4.0,4.0,v,o,r,Great employer,"Fantastic opportunities for training and development 
Inclusive and supportive","Competitive environment 
High expectations of employees, sometimes work/life balance can suffwr",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2492,2021-03-06, Accenture Consultant,"Former Employee, more than 3 years","London, England, England",4,4.0,4.0,3.0,4.0,5.0,4.0,v,v,r,Lots to learn,"Great people, good variety of project, great perks",dont always get to choose your project,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2496,2021-03-07, Associate Manager,"Former Employee, more than 3 years","London, England, England",3,4.0,3.0,2.0,2.0,3.0,3.0,x,x,r,Average employer,"Typical Indian style consultancy, if ur in god project u enjoy else you won't.","Typical bureaucracy like in any other big firms, too much focus on female employees being promoted and ignoring the actual talent for promotions and hikes in senior levels.",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2500,2021-03-07, Senior Manager,"Former Employee, more than 5 years","London, England, England",5,3.0,5.0,5.0,5.0,5.0,4.0,o,o,o,Great Firm to work for,"Salary, Progression, Training, Interesting work, highly motivated staff.","Demanding, must be willing to work away at client site.",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2504,2021-03-07, Solution Architect,"Current Employee, more than 3 years","London, England, England",4,3.0,3.0,4.0,4.0,4.0,3.0,o,o,o,Good compensation,Good benefits and compensation schemes,Work life balance is not a strong culture,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2508,2021-03-08, Consultant,Current Employee,"London, England, England",5,3.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great Starting Company,"Salary, Benefits, Culture, Opportunities, Network",Work Load can be a lot sometimes,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2512,2021-03-08, Sales Capture Lead,"Current Employee, more than 1 year","London, England, England",2,1.0,2.0,2.0,3.0,4.0,1.0,x,r,v,Glorified Bid Manager,"Good salary 
Flexibility to work from home","Politics, too many cooks in the kitchen.
Sales seen as back office work",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2516,2021-03-09, Applications Development Associate,Current Employee,"London, England, England",4,4.0,4.0,5.0,5.0,3.0,4.0,o,o,o,Learning and growing,More opportunities to learn diff projects,Finding your own project is painful,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2520,2021-03-09, Management Consultant Manager,"Current Employee, more than 3 years","London, England, England",4,4.0,4.0,4.0,4.0,4.0,4.0,v,v,v,Great company to work for,Competitive salary and benefits package,Career progression can be difficult for those with niche skills who don’t for the mould.,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2524,2021-03-09, Marketing Manager,"Current Employee, more than 3 years","London, England, England",5,1.0,5.0,5.0,5.0,5.0,3.0,v,v,v,"Good perks, salary - hardcore hours on the strategic side",Great renumerations and cross industry opportunities,Strategy engagements are not always led by the brightest in the topic / market area,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2528,2021-03-09, Senior QA Analyst,"Former Employee, more than 1 year","London, England, England",4,3.0,4.0,5.0,4.0,3.0,3.0,v,r,r,Management review,Challenging projects and exposure to different team members for various projects,"Contractors are very dispensable depending on the progress of the project. I was told by a HR person that employees have ""gold dust"" on them although the pay is much lower than contractors who doesn't have job security.",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2532,2021-03-10, Applications Developer,"Current Employee, less than 1 year","London, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,New associate,Support within the company and your roles,Working from home and not seeing people in the office,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2536,2021-03-11, Assistant Recruitment Manager,"Current Employee, more than 3 years","London, England, England",4,3.0,4.0,5.0,3.0,3.0,3.0,v,r,r,Good employer,"Generous holiday allowance
Great people
Flexible working","Long hours
Less pay than competitors
Sometimes fustrating processes",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2540,2021-03-11, IT Analyst,"Former Employee, more than 10 years","Newcastle upon Tyne, England, England",4,5.0,3.0,5.0,4.0,2.0,2.0,o,r,o,Great place to learn.,The people were excellent in the early days,Loyalty is not rewarded just like anywhere,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2544,2021-03-11, Team Lead,"Current Employee, more than 1 year","London, England, England",4,4.0,5.0,5.0,4.0,3.0,4.0,v,v,v,Review,A good and healthy environment,Haven't come across any negative instances,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2548,2021-03-11, Technical Architect,"Former Employee, more than 5 years","London, England, England",4,2.0,3.0,5.0,5.0,4.0,3.0,v,v,o,Ok but expect to sell your soul and to progress you have to accept less technical roles,Great people and opportunity's lots off training available,Learn on the job is mandatory,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2552,2021-03-12, Analyst,"Current Employee, more than 1 year","London, England, England",4,3.0,4.0,4.0,5.0,4.0,4.0,v,o,v,"Amazing benefits, but expect to work hard","Amazing people, team are so understanding, culture is good. Work is good",tho some people are more traditional and need their mindsets changed,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2556,2021-03-12, Management Consultant,"Current Employee, more than 1 year","London, England, England",4,4.0,5.0,5.0,3.0,3.0,3.0,v,v,r,"Very good company, but career progression is difficult","Very structured company, very good base pay, excellent benefits, good work-life balance",Promotions are VERY difficult and happen rarely,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2560,2021-03-14, Associate Manager,"Current Employee, more than 10 years","London, England, England",5,3.0,4.0,3.0,5.0,4.0,3.0,v,v,v,Great company to work for,Can choose your career path,"Extended working hours at times. 
Not enough BAME at leadership level",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2564,2021-03-15, Legal Counsel,"Current Employee, more than 3 years","London, England, England",3,2.0,5.0,3.0,2.0,1.0,2.0,v,v,v,"Heavy workloads, no career progression",Great people eager to learn,"Overworked, salary and bonuses are not great, lots of managers and not leaders",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2568,2021-03-15, Senior Analyst,"Current Employee, more than 1 year","London, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Good,It is place to work,"Nothing, great company with great opportunities.",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2572,2021-03-15, Team Leader,Current Employee,"Knutsford, England, England",4,4.0,4.0,4.0,4.0,4.0,3.0,x,v,v,Na,Nothing much to highlight for.,Nice and caring company with good work.,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2576,2021-03-16, Management Consultant,"Current Employee, more than 5 years","London, England, England",4,2.0,3.0,4.0,4.0,3.0,4.0,v,o,v,Exciting company but large and hard to navigate,A lot of opportunity to learn,Sometimes not sure if company is delivering value - quite sales focused.,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2580,2021-03-16, Management Consulting Analyst,"Current Employee, more than 1 year","London, England, England",5,3.0,4.0,5.0,5.0,4.0,4.0,v,v,v,Modern workplace and inclusive environment,"As a Consultancy who's entire model is based around best-practice, Accenture are always ahead of the curve in terms of the latest Employee incentive schemes or softwares. The company is also noticeably more diverse and inclusive than other consultancies, and really makes this one of their USP's.","Requires strong self-starters and pro-activity. Nothing will be handed to you and it requires a competitive spirit. Can make you feel a bit lonely at times, as if you have no support or team. Also strong expectations on chargeability which creates a little bit of toxicity.",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2584,2021-03-17, Management Consultant,"Current Employee, more than 5 years","London, England, England",4,3.0,4.0,4.0,4.0,3.0,3.0,v,v,v,Supportive work environment,Supportive colleagues who make the workplace great,The client usually drives the work experience,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2588,2021-03-17, Technology Associate,"Current Employee, more than 1 year","London, England, England",4,3.0,4.0,5.0,5.0,4.0,4.0,v,v,v,Great projects,"-Great projects
-Nice team
-Perks with the job","-Lack of payscale visibility
-Some bad management
-Experience at this company is dependent on project entirely",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
2592,2021-03-18, Consultant,"Current Employee, more than 1 year","London, England, England",4,3.0,4.0,5.0,4.0,3.0,4.0,v,o,v,Consultant,"Interesting and varied work, great people",Political and unbalanced promotion process,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
